1618,,RT @billboard : #BottleRock2015 will blend worlds of food and music on the Williams-Sonoma culinary stage in May :,"#bottlerock2015,williams-sonoma",,['gop'],"house,gop",88weighted,
936,,RT @BIGMONEYMIKE6 : MONSTER BOUNCE COMIN ON $VTCQ TOMORROW !!!!!!! IM LOADING THE BIDS AS I TWEET !!! #BMM https://t.co/aoOZvOFGIs,monster bounce,,[],,vjf6122,
1760,,RT @BIGMAKK_ : OH YEAH ... this Sunday is our 3 year anniversary of @ShakenBass .... let us party,,,['gop'],"house,gop",88weighted,
3383,,RT @biebshatesit : my birthday is gonna be in 4 months y'all I'm gonna be 18 . eight ducking teen ( dec 30th mark y'all 's calendars ),,,['gop'],"house,gop",88weighted,
1428,,RT @bidmegoodbye : Nichkhun for Elle Men Thailand Sept 2015 issue with 2 version covers ! https://t.co/cNT5GoOZlD,"nichkhun,elle men thailand",,['gop'],"house,gop",88weighted,Elle Men Thailand
3174,,RT @BHR_hospitals : Some great advice for a fun and safe night out tomorrow https://t.co/Q0idM0b27A,,,['gop'],"house,gop",88weighted,
588,,RT @bhallwfmy : Friday 's ( 3AA ) 3rd Rd . State Playoff games ..... @NightHawkFB vs . Terry Sanford ..... @WFMY @WFMYhss,terry sanford,,[],,LANDO__Lakes,Terry Sanford
2020,,RT @Beytell66 : Finally ! Hitting December like ... https://t.co/Fs9vnrKvFc,,,['gop'],"house,gop",88weighted,
1455,,"RT @BestTextMsgs : Girls never get mad for no reason . It may be over something small or stupid , but there 's always a reason .",,,['gop'],"house,gop",88weighted,
1883,,RT @bestnialIpicss : November 4th 2013 https://t.co/N1DCsod9eT,,,['gop'],"house,gop",88weighted,
103,,RT @BestBikiniGirls : Behind the Scenes Interviews with IBT Bikini Models Jun 2015,ibt,,[],,televisionwhore,IBT Bikini
2078,,RT @BenjaminBohns : Happy 1st day of spring ! Time to grow those bones ! #1stdayofspring #bones #skeleton #growingweeds,,,['gop'],"house,gop",88weighted,
2063,,RT @Ben_Wachter10 : Come Watch one to the best rivalries in the state Franklin Vs Oak Creek Sept . 18th at Oak Creek https://t.co/FlAOHhOqOO,"franklin,oak creek,oak creek",,['gop'],"house,gop",88weighted,"Franklin,Oak Creek,Oak Creek"
47,,"RT @belkacemi : When the sun has set , no candle can replace it .",,"dem sorosian,carter page,george","['carter page', 'healthcare', 'gop']","gop,george",tiwhitter,
2376,,"RT @beliebers_teamx : / August 17 / Photo of Justin Bieber with a fan in Beverly Hills , California . @justinbieber","justin bieber,beverly hills,california",,['gop'],"house,gop",88weighted,"Justin Bieber,Beverly Hills,California"
187,,RT @Bekificent : May mga babaeng hindi naman kagandahan . Nadadaan lang talaga sa sobrang kalandian .,,trump,[],trump,SC_Ropp,
3236,,RT @becci5sos : I wonder what 5sos will play on Saturday #vote5sos #kca,5sos,,['gop'],"house,gop",88weighted,
2315,,RT @Beaufam : May the odds be in your favor,,,['gop'],"house,gop",88weighted,
908,,RT @BEATBUTCHA_SOI : Salute ! https://t.co/afXP60kN7C,,senate,"['senate', 'gop']","gop,senate",ThePantau,
1522,,"RT @BeamerWigley : My 1st John Legend cover , - All Of Me",john legend,,['gop'],"house,gop",88weighted,John Legend
890,,RT @BBTN : Troy Tulowitzki shows up ! The SS comes through with an RBI double . @BlueJays lead 3-0 in the 6th .,troy tulowitzki,,[],,eileengo1,Troy Tulowitzki
1969,,"RT @bbcdoctorwho : Don't miss the new series of Doctor Who on BBC One , tomorrow night at 7.40 pm ! https://t.co/0xKg47Gett","doctor who,bbc one",,['gop'],"house,gop",88weighted,BBC One
1912,,RT @batterycitys : this is the hottest December I've ever had https://t.co/S7rDjjuYlY,,,['gop'],"house,gop",88weighted,
327,,RT @BatchiFckngLuna : Official Hashtag for November 29 : https://t.co/z0RNy61xfV,,"trump,carter page","['carter page, phd']",,OscarNunezLA,
680,AHCA,RT @BarcelonaHQ : #RT if you think Messi will win his 5th Ballon D'or #Messi5th https://t.co/VJpdfd1X7Z,"messi,ballon d'or",us senate,['us senate'],us senate,HRW_Miami,"Messi,Ballon D'or"
2811,,"RT @BanterAthletic : FIFA 16 Beta codes giveaway , RT this &amp; follow us to win , will pick a winner tomorrow ! :D",fifa 16,,['gop'],"house,gop",88weighted,
1151,,"RT @BallerinaX : Suspect in Midvale shooting at large , 4 schools on lockdown . Shooter at large . multiple injuries #SaltLakeCounty",midvale,,['gop'],"house,gop",88weighted,"Midvale,Shooter"
2352,,"RT @bahnbilder : 40 81 9432 934-3 , angeschrieben als Bihwo 34637 am 05 . April 2015 im Bf . Hohenau . #bahnbilderde",,,['gop'],"house,gop",88weighted,
3230,,RT @baekysoo : 12PM KST August 4th - 1st EXO-L Annieversary #EXOL1stAnniversary I LOVE YOU GUYS LETS WALK TOGETHER TILL END,exo-l,,['gop'],"house,gop",88weighted,
3720,,"RT @backyardpatch : @BooneTackett thanks for sharing BooksOfTheGardener , have a great Monday :) ( insight by )",,,['gop'],"house,gop",88weighted,
3453,,"RT @babetexts : august , september , halloween , thanksgiving , christmas","halloween,thanksgiving",,['gop'],"house,gop",88weighted,"thanksgiving,christmas"
1812,,"RT @Azarodining : Pre-meal cocktail , anyone ? Go on , it 's Saturday ! #AzaroLocal #Brighton #Hove",#brighton,,['gop'],"house,gop",88weighted,
575,ObamaCare,RT @ayee_its_jacob : Salesian Volleyball vs . Cathedral Volleyball . April 16th @ Salesian . Come out and support #SalesianVolleyball,"salesian volleyball,cathedral volleyball,salesian",,[],,OPSVeracity,"Salesian,Cathedral Volleyball"
2149,,RT @AwesomityFun : leaving school tomorrow like,,,['gop'],"house,gop",88weighted,
1008,,RT @Awaydays23 : FC Porto at home to Bayern Munich on Wednesday,"fc porto,bayern munich",,['gop'],"house,gop",88weighted,"FC Porto,Bayern Munich"
2508,,RT @AvgSociaIMedia : Twitter : Happy 4th of July posts,4th of july,,['gop'],"house,gop",88weighted,Twitter
3106,,RT @AugustMaturo : HILARIOUS ! == &gt; Life Lessons with August Maturo via Oh My Disney @OhMyDisney,"august maturo,oh my disney",,['gop'],"house,gop",88weighted,
1168,,RT @AthansABC11 : #breaking CCSO : Andrew Michaelis fired at least 30 rounds in shooting that killed 2 pic.twitter.com/L44JqerEuL,andrew michaelis,,['gop'],"house,gop",88weighted,"CCSO,Andrew Michaelis"
102,,RT @AstonCurrency : ACM FX Update 12 May 2015,acm fx,"carter page,spicer",['carter page'],spicer,yynn6001,
2896,,RT @Asswars69 : 2nd Round of the Tournament ! Retweet for Selena Gomez Favourite for Vanessa Hudgens,"selena gomez,vanessa hudgens",,['gop'],"house,gop",88weighted,"Selena Gomez,Vanessa Hudgens"
1393,,RT @assthetics__ : I may be difficult sometimes but I can promise you you'll never be bored with me around,,,['gop'],"house,gop",88weighted,
100,"Davenport, Iowa","RT @askpenners : It 's gone . Done and dusted . History . It 's MARCH everybody ! Now , lets get to it !! @Adam_Penning #timetogetserious",,"fbi,trump,carter page,washington post","['washington post', 'washington post', 'fbi', 'carter page', 'adviser']","fbi,fisa,trump,carter page - washington post",DavenportIowaa,
1223,,RT @AsimJ5 : So it begins ! 1st Wage Board Meeting in Buffalo ! #FightFor15,buffalo,,['gop'],"house,gop",88weighted,Buffalo
2902,,"RT @ashutosh83B : AAP Won Delhi . You Didn't, LG Jung - writes Ashutosh","aap,delhi,lg jung,ashutosh",,['gop'],"house,gop",88weighted,LG Jung
2696,,"RT @Ashton5SOS : I feel incomplete without the new album being released , I , we , need you to hear it asap , the 23rd can't come quick enough ...",,,['gop'],"house,gop",88weighted,
3385,,RT @arshiya_raza : :) ) #HBDRazaAkram https://t.co/wb5A7lFffE,,,['gop'],"house,gop",88weighted,
1490,,RT @ArronOberholser : Last official round of the year today for anchoring . Can't wait to see who does what come January 1st . #putterwatch2016,,,['gop'],"house,gop",88weighted,
3114,,"RT @arielmacielf : Justin Bieber en el Wango Tango en Los Angeles , CA . ( May 9 )","justin bieber,wango tango,los angeles,ca",,['gop'],"house,gop",88weighted,"Justin Bieber,Los Angeles,CA"
2956,,RT @ArianatorAmazex : This September #AribyArianaGrande,,,['gop'],"house,gop",88weighted,
821,AHCA,RT @argonavis_br : A very old book on Java . 3rd . printing . January 1996 . #Java20,java,,[],,beautifullynerd,Java
3529,,RT @Aravind8 : NRIs may cast e-votes in Bihar election via @timesofindia,"nris,bihar",,['gop'],"house,gop",88weighted,
2753,,"RT @AppSapp : On April 18 , 1930 , the @BBC announced , "" There is no news today ,"" and played piano music instead .",,,['gop'],"house,gop",88weighted,
3694,,"RT @ApolloCrews : Tomorrow , I will prove I belong .. #NXTTakeOver #NXTTakeOverRespect #ApolloNation stand up . #gifted #tooeasy",,,['gop'],"house,gop",88weighted,
855,Obamacare,"RT @AP @YahooNews BREAKING : Senior defense official : 1 dead , 14 injured in Fort Hood shooting .",fort hood,,[],,MOnyryx,Fort Hood
2056,,RT @AP : BREAKING : NOPD says 12 hurt at New Orleans Mother 's Day second-line parade shooting : -RJJ,"nopd,new orleans,mother 's day",,['gop'],"house,gop",88weighted,New Orleans Mother
1200,,RT @anthonycraig73 : I liked a @YouTube video from @technascribe https://t.co/jPyKlRmsNe December 2015 MHC TEAM | EP 03 | Blazes ! Run !,,,['gop'],"house,gop",88weighted,
207,Trump,"RT @AntDeRosa : Vine captures New Orleans shooting , by MoneyMakingTUCHE https://vine.co/v/b0dVuFXIZaO via @mattdpearce","vine,new orleans,moneymakingtuche","fbi,trump,carter page,the washington post","['adviser', 'fbi', 'carter page', 'the washington post', 'the washington post']","fbi,fisa,trump,washington",MorrisonRP,"Vine,New Orleans"
1367,,RT @AngPoetNyo : Ngayon ang Daysary o Weeksary ng MONGGO dahil ito ang pinaka-ALDUB ng MONday at LiNGGO ! #ALDUBComeWhatMay,,,['gop'],"house,gop",88weighted,LiNGGO
2556,,RT @AngPoetNyo : BABALA : may mga naiiinggit na nanggugulo na naman sa hashtag ! Double check and triple tweet ! #ALDUBBATTLEForACause,,,['gop'],"house,gop",88weighted,
826,AHCA,RT @ANGLOLANIDORA : WAG KAYONG MAGULO MAY SARILI TALAGA SILANG MUNDO @mainedcm @aldenrichards02 #ALDUBComplicated https://t.co/q95SrCkOrz,,,[],,hossp63,WAG KAYONG MAGULO MAY SARILI TALAGA
3535,,RT @ANGLOLANIDORA : Oh organic tweets lahat yan ah baka may masabi na naman ang iba jan #ALDubEBTamangPanahon,,,['gop'],"house,gop",88weighted,
613,AHCA,RT @Angelbear_HD : [ PIC ] 150325 The 9th Asian Film Awards - HOYA ( Cr . VAVAVOOM0328 ),"the 9th asian film awards,hoya ( cr . vavavoom0328 )","ruth,o'care",[],,ALMtnMan30cal,Asian Film Awards
485,,"RT @anetnekmo : "" @JAdikz : 2nd spot NW ! #BFDarlingsDay @MyJaps @JulienitedPH @BuenaFamiliaGMA ( c ) """,,"donald,carter page",['carter page'],donald,dane_hedquist,
3709,,RT @andrewspoooner : Searing stuff . Nick is right - this is how I remember Tory UK in the 80s and 90s . https://t.co/15qGPNEVVO,"nick,uk",,['gop'],"house,gop",88weighted,Nick
36,,RT @AndreaRussett : so excited for U guys to see my new video friday ! make sure ur subscribed :),,carter page,['carter page'],carter page,omyword,
3017,,RT @AMPromoting : RT if you're excited for the Dirty Work video tomorrow ! #DirtyWorkVideoTOMORROW,dirty work,,['gop'],"house,gop",88weighted,
68,,RT @amiseattle : #check #checkthisout https://t.co/VnndEEHcMh,,,[],,DalanOverstreet,
1279,,"RT @AmeDepressif : Mon "" Je vais bien "" cache une tres grande tristesse au fond",,,['gop'],"house,gop",88weighted,
2759,,RT @amberuzzle_2 : Not looking forward to tomorrow,,,['gop'],"house,gop",88weighted,
1655,,"RT @ambedkarperiyar : The #protest will be organized at Gajendra Circle near the Administrative building , IITM , 11:00 AM 2nd June 2015",gajendra circle,,['gop'],"house,gop",88weighted,"Gajendra Circle,IITM"
996,AHCA,"RT @AmazingRoom : When the sun smiles , the birds smile back !",,arya stark,['arya stark'],arya stark,whithonea,
926,,RT @amandasosa23 : Is it thundering or is my dad snoring ????? I may never know,,,[],,ceeny,
3471,,RT @alvic111826 : ITS JUST SPEECHLESS . THE POWER OF TWO #ALDubEBTamangPanahon https://t.co/QeTbndsshD,,,['gop'],"house,gop",88weighted,
2841,,RT @ALS_Fanzine : It would be canny if we finished 21st this season though ... https://t.co/rqYAojEKqH,,,['gop'],"house,gop",88weighted,
1212,,RT @allkpop : VIXX win #1 + Performances from November 20th ' Music Bank'! https://t.co/Zuotqqgpk4 https://t.co/ylrNoGEfKf,"vixx,music",,['gop'],"house,gop",88weighted,Music Bank'!https: t.co/Zuotqqgpk4
1506,,RT @allkpop : Confirmed : Girls ' Generation to have a Korean comeback with 5th full album in May,girls ' generation,,['gop'],"house,gop",88weighted,
272,TrumpRussiaCollusion,RT @allkpop : B1A4 releases sweet teasers for 6th mini album ' Sweet Girl'!,"b1a4,sweet",,[],,AshleyElpern,
286,,RT @Allisonholker : So happy !! Tomorrow is the premier of @DancingABC #dwts so excited @rikerR5,,"sean spicer,carter page,susan rice,gop","['susan rice', 'carter page', 'sean spicer', 'gop']","sean spicer,susan rice",EricRobertson,
2928,,RT @allanklownz : Naniniwala na akong may patutunguhan tong kilig natin #ALDUBmeetsTVJ,,,['gop'],"house,gop",88weighted,
1372,,RT @allaboutsistar : [ Official Photos ] #SISTAR #BORA - InStyle Magazine ( July 2015 ) credit : as tagged ( 2 ),instyle magazine,,['gop'],"house,gop",88weighted,InStyle Magazine
2164,,RT @AlKohler7 : Selamat jalan Oma Barre .. May you rest in peace .. We always love you https://t.co/vqFakeFlPH,,,['gop'],"house,gop",88weighted,Oma Barre
230,,RT @ALivesyRSugden : #Robron #aaronlivesy #RobertSugden 31st July,"#robron,#aaronlivesy,#robertsugden",,[],,JKHoro,
1274,,RT @ALifeAllah : The end of March is creeping up on you . How are those goals coming ? #GetBusy,,,['gop'],"house,gop",88weighted,
2152,,"RT @Alhamdhulillaah : No matter what hardship you may be going through , never underestimate the power of prayer with conviction .",,,['gop'],"house,gop",88weighted,
2993,,RT @alexavillano : More photos of JaDine . On The Wings of Love will air August 10 . #OTWOLMediaDay,"jadine,on the wings of love",,['gop'],"house,gop",88weighted,
2312,,RT @ALDUBPILIPINAS : Happy Birthday sa lahat ng may birthday hep hep hooray !!! #ALDUBOneMoreDay - [ MCR ],,,['gop'],"house,gop",88weighted,
3656,,RT @AlDubBigBoyz : Aaahh may jake no . 1 at may jake no . 2 ... Hindi ko mahulaan ang mangyayari .. #ALDUBToSeeYouAgain https://t.co/aPf5sL6flT,,,['gop'],"house,gop",88weighted,
2602,,RT @AlDubBarkads : TANDAAN : SATURDAY IS ALWAYS A SPECIAL DAY ! #ALDUBThirdMonthsary,,,['gop'],"house,gop",88weighted,
1484,,RT @AlDubArmy : @ALDUBPILIPINAS AKO HAHAHA MAY EXAM PA NGA KAMI MAGKASUNOD NA SUBJECT ! HAHAHA FIRST AND SECOND PERIOD PA #ALDUBSaveMaine,,,['gop'],"house,gop",88weighted,PA NGA KAMI MAGKASUNOD
1974,,RT @ALDUBARKADS_AUH : OFFICIAL HASHTAG : FRIDAY @officialaldub16 @ALDUBARKADS @ofctrendsetter #ALDUBTrust https://t.co/P3bmHYnbuk,,,['gop'],"house,gop",88weighted,
8,,RT @aldenrichards02 : Happy 10th weeksary sa ating lahat !!! #ALDUBOurMissionisLove,,,[],,itsShonny,
715,,"RT @Albast_Jakbar : @hastagCJR thanks for sharing CJR , have a great Saturday :) ( insight by https://t.co/b2r7Efsi4H )",cjr,,[],,sunkist111,
935,AHCA,"RT @alaMatt26 : Si kuya galit na . Hahaha ! Pero , may point naman siya . #ALDUBONLYYou https://t.co/Ka5O5XvYK6",,,[],,N8tiveDreamr,Pero
1175,,RT @Alain_Aoun : Commemorating Oct 13 in Baabda,baabda,,['gop'],"house,gop",88weighted,Baabda
2061,,"RT @AlabamaWBB : Alabama beats LSU , 62-45 ! First win in an SEC opener for the Tide since 2008 ! Next up , at Kentucky on Thursday . #RollTide","alabama,lsu,the tide,kentucky",,['gop'],"house,gop",88weighted,"Alabama beats LSU,SEC,Kentucky"
1444,,RT @AKOSiLOLANiDORA : PAG MAY LUNGKOT MAY LIGAYA PAG MAY PAGSUBOK MAY SAGOT NA PAG-ASA #ALDUB19thWeeksary,,,['gop'],"house,gop",88weighted,
1142,,RT @AJENews : Syria 's Assad held talks with Putin in Moscow on Tuesday on unannounced visit - Kremlim https://t.co/DnXUKBwAYZ,"syria,assad,putin,moscow,kremlim",,['gop'],"house,gop",88weighted,"Syria,Putin,Moscow,unannounced"
3250,,RT @Ainsworth1980 : Bas Dost from Wolfsburg to Newcastle should be a done deal by tomorrow . #nufc,,,['gop'],"house,gop",88weighted,"Bas Dost,Wolfsburg,Newcastle"
369,,RT @aimeelea_ : Thankgod it 's finally pay day tomorrow,,,['u.s.'],u.s.,ethomasw,
570,ObamaCare,RT @aha_com : 16 Mar 2013 : ' Take On Me ' back in the US Top 20 thanks to ' Feel This Moment ' #aha30,"take on me,us top 20,feel this moment",,[],,k8egreenthal,
1157,,RT @AgiwaldW : Toltec Warriors 10th-12th century CE Tollan ( Tula ) #Mexico #archaeology By Luidger,"tollan,#mexico,luidger",,['gop'],"house,gop",88weighted,"Toltec Warriors,Tula,Luidger"
1080,,RT @adventurefuI : the last living rescue dog who searched for survivors on 9/11 celebrates her 16th birthday today,,,['gop'],"house,gop",88weighted,9/11
3188,,RT @adoringbnm : I REBLOGGED ON TUMBLR AND GOT THIS IN THE MAIL TODAY MY BIRTHDY ISNT EVEN UNTIL AUGUST,tumblr,,['gop'],"house,gop",88weighted,TUMBLR
2319,,RT @AdmireMyQuote : ITS FRIDAY,,,['gop'],"house,gop",88weighted,
2835,,RT @AccountingMY_ : Zikr for every Tuesday - Allahumma Solli ' Alaa Muhammad Wa ' Alaa Aalihii Muhammad ( 1000 times ),"muhammad,muhammad",,['gop'],"house,gop",88weighted,"Alaa Muhammad Wa,Alaa Aalihii Muhammad"
3596,,RT @AboutVirgos : A #Virgos feelings toward someone can change so quickly . They may like you today and despise you tomorrow .,#virgos,,['gop'],"house,gop",88weighted,
265,,"RT @AbileneDixieLL : Wright grounder to 2nd and out at 1st , Middle of the 2nd Dixie 4 Midland 1","dixie,midland",,[],,DizzSA1,2nd Dixie 4 Midland
2253,,"RT @AberdeenFanPage : Merry christmas and a Happy new year when it comes to all you Dandies out there , 3 points on Saturday please #COYR",,,['gop'],"house,gop",88weighted,Merry christmas
2197,,"RT @AbdoAssamady : TAIZ-YEMEN 21st , Oct , 2015 https://t.co/6aygZTw38s",taiz-yemen,,['gop'],"house,gop",88weighted,
2244,,"RT @ABC7Chicago : 2 dead , 3 injured after police-involved shooting in River Forest : pic.twitter.com/AE8FhaGclh",river forest,,['gop'],"house,gop",88weighted,River Forest
2032,,RT @abc3340 : Police conducting a homicide investigation on Avenue V after a shooting Saturday night . https://t.co/0Q94pQ9qDB,,,['gop'],"house,gop",88weighted,Avenue V
260,,RT @abc15 : Pinal Co sheriff : 4 shot at bike gang clubhouse …,pinal co,carter page,"['adviser', 'fbi', 'carter page']","retweeted fox news,fbi,fisa",RiggyQueen,
1260,,RT @aaronramsey : Happy to be back ... looking forward to the game tomorrow ! #AFC #NBfootball,,,['gop'],"house,gop",88weighted,
3089,,RT @AaronCarpenter : Love you &amp; thank you https://t.co/ZXDByWGa81,,,['gop'],"house,gop",88weighted,
3347,,RT @80sNostalgia : That F-F-Friday feeling !,,,['gop'],"house,gop",88weighted,
354,DoubleStandards,RT @5SOSWWReports : Luke on stage in London June 13 . #ROWYSOLondon,"luke,london","fbi,trump,carter page","['fbi', 'carter page', 'adviser']","fbi,fisa,trump,carter page",upanatm,"Luke,London"
2413,,RT @5SOSWWReports : Hey hey hey 5sos are performing on sunrise tomorrow wooooo ! #5SOSMelbourne #5SOSSunrise,5sos,,['gop'],"house,gop",88weighted,
2575,,RT @5SOSUpdatesAUT : HQ | 5SOS at Sirius XM #6 ( August 21st ) #ShesKindaHotVMA,"5sos,sirius xm",,['gop'],"house,gop",88weighted,Sirius XM
1435,,"RT @5SOSsUpdatess : Ashton with a fan out in London ! | April 24 , 2015","ashton,london",,['gop'],"house,gop",88weighted,"Ashton,London"
951,,RT @5SOS1DAlert : Harry being his whale self . ( 5th June ) ( Via 1dlovesoned on Tumblr ),harry,"why democrats,house republicans",[],"house,obamacare",kathleea1,Tumblr
558,,RT @5sos_____song : tomorrow never dies #vote5sos #kca,,,[],,Sm4rtM0nk3y,
1021,,RT @5SOS : Today is Michael 's 17th birthday ! let 's get it trending for when he wakes up :) #happybirthdaymichael :D,michael,,['gop'],"house,gop",88weighted,Michael
1886,,RT @5SOS : Monday https://t.co/ati1lmtyp5,,,['gop'],"house,gop",88weighted,
2704,,"RT @5SOS : It was filmed at #ROWYSO London . It 's out in the UK on 23rd Nov , and everywhere else on 20th Nov .","#rowyso,london,uk",,['gop'],"house,gop",88weighted,"London,UK"
1271,,RT @5HVoteStats : 3rd place (-1 ) #MTVStars Fifth Harmony https://t.co/wC0F3xUse5,fifth harmony,,['gop'],"house,gop",88weighted,
2776,,RT @30SecondJams : Young Money - BedRock ( November 2009 ) https://t.co/sojm1amXRh,,,['gop'],"house,gop",88weighted,Young Money
3115,,RT @30SecondJams : The Pussycat Dolls - Stickwitu ( September 2005 ) https://t.co/fmpIruzvg1,"the pussycat dolls,stickwitu",,['gop'],"house,gop",88weighted,The Pussycat Dolls
812,,RT @30SecondJams : Mike Jones - Back Then ( February 2005 ) https://t.co/hRG9V24KLj,"mike jones,back then",,[],,Hollyberry872,Mike Jones
2743,,"RT @24hoursoflemans : Porsche wins again , for the 17th time ! #LEMANS",porsche,,['gop'],"house,gop",88weighted,Porsche
1138,,"RT @1DUSAUpdate : Zayn leaving his house today #1 - March 27 , 2015 ( via )",zayn,,['gop'],"house,gop",88weighted,
161,,"RT @1DUSAUpdate : #HQ || Louis onstage during the tour opener in San Diego tonight #1 - July 9 , 2015","louis,san diego","office,carter page",[],,Itsafairday,"Louis,San Diego"
840,,RT @1DNetCrew : NEWS : Harry Styles will be joining the cast of the 2nd season of Scream Queens ! https://t.co/Ee1ITGe2Sd,"harry styles,scream queens",,[],,kec725,"Harry Styles,Scream Queens"
1870,,RT @1DAsiaCrew : The boys have 6 days off before performing at the Apple Music Festival in London on 22 September 2015 !,"apple music festival,london",,['gop'],"house,gop",88weighted,"Apple Music Festival,London"
2657,,RT @1DAsiaCrew : Niall with a member of Icona Pop in Ottawa last night ! ( Sept 8th ),"niall,icona pop,ottawa",,['gop'],"house,gop",88weighted,"Icona Pop,Ottawa"
1955,,RT @1DAsiaCrew : Niall leaving Nobu Restaurant in Malibu ( July 13th ) #13-16,"niall,nobu restaurant,malibu",,['gop'],"house,gop",88weighted,Malibu
5,FISA,"RT @1DAsiaCrew : Louis ' interview with The Sun about his own record label "" 78 Productions Limited "" #ProudOfLouis","louis,the sun,78 productions limited",carter page,['fbi'],,Class_of_78,"Louis,The Sun"
2394,,"RT @1DAsiaCrew : Harry arriving at LAX in Los Angeles , CA , today ! ( July 3rd ) #5-8","lax,los angeles,ca",,['gop'],"house,gop",88weighted,"LAX,Los Angeles"
226,TheResistance,"RT @1D_INOfficial : Niall has just confirmed that he , Harry , Louis and Liam will be having a 5th tour ! #1DonGMA ( Via @HarryNews1D )",,carter page,['carter page'],carter page,TrumpIsNotLegit,"Harry,Louis,Liam"
1420,,RT @0lv3J_tam3tu : Good morning gaanv vaalo Uth jaao saalo Monday hai aaj . MONDAY . *evil laugh*,,,['gop'],"house,gop",88weighted,vaalo Uth
772,AHCA,RT @00_48am : [#SKE48 ] Unit SKE48 Akan Rilis Debut Single di Bulan November,unit ske48 akan rilis,,[],,Pat_Beaudry,Rilis
883,"shameonyou, obamacare, ACHA, killthebill",RT @_Lamonte : After the 5th lap around forever 21 ...,forever 21,,[],,KimberlyGadette,
952,,RT @_hazelnutnarry : so who will tomorrow 's drama be about ?? #KCA #Vote1DUK #NOCHILLPHILIPPINES #HaveAGoodRestZayn,,,[],,jillbelasco,
2734,,"RT @_gvbbyy : Bibby dropped , Fab dropped , Drakes album coming soon but where frank ocean at ? We're about 5 months into June","bibby,fab,drakes,frank ocean",,['gop'],"house,gop",88weighted,"Drakes,June"
106,,RT @_bkeps : Weekly Sunday night reminder that I suck at life but I'm a fantastic procrastinator,,nazi,[],,kimijtoo,
2891,,RT @_5SOSFAMUPDATES : Calum 's parents dancing to Long Way Home tonight at Wembley Arena ( 12th June ),"calum,long way home,wembley arena",,['gop'],"house,gop",88weighted,"Calum,Wembley Arena"
1628,,RT @__arsenal_news_ : Tomorrow London will once again be RED !!! #YaGunnersYa #COYG,london,,['gop'],"house,gop",88weighted,London
1281,,RT @ This coupon for a Complimentary Bar Bite from our IN + ON Bar Bites menu is valid until March 15 !...,,,['gop'],"house,gop",88weighted,ON Bar Bites
2900,,RT : #webinar G+ : How To Get A Paying Job In The Film Industry | Webinar | Saturday 4/11 |,"g+,how to get a paying job in the film industry",,['gop'],"house,gop",88weighted,
3358,,RSX - 43.75 % Stock Charts $RSX Sun Resources N.L. ( FRA ) Last Updated : 11/17/2015 14:56 : 40 RSX Stock Chart - 1 M https://t.co/hDrtCPavwx,sun resources n.l.,,['gop'],"house,gop",88weighted,
2040,,RSVP to attend the closing event December 15 at the @Shaw_Centre in Ottawa . https://t.co/DtQH6mXk67 #MyReconciliationIncludes #TRC2015,ottawa,,['gop'],"house,gop",88weighted,Ottawa
3166,,Ronda Rousey to Host ' Saturday Night Live ' on Jan . 23 | NBC Bay Area https://t.co/9jLfoVfHRE,"ronda rousey,saturday night live,nbc,bay area",,['gop'],"house,gop",88weighted,"Ronda Rousey,Saturday Night Live,NBC Bay Area"
3359,,Roman Reloded and Pink Friday are different albums ? https://t.co/kQLR27tB7o,"roman reloded,pink friday",,['gop'],"house,gop",88weighted,"Roman Reloded,Pink Friday"
2899,,Rocket League is coming to Xbox One in February : This year Rocket League showed the world just how amazing soc ... https://t.co/faQ0NIulDc,"rocket league,xbox one,rocket league",,['gop'],"house,gop",88weighted,"Rocket League,Xbox,Rocket League"
2661,,robert sean leonard jeune c'est mon crush level 100000000000,robert sean leonard,,['gop'],"house,gop",88weighted,robert sean leonard
1984,,"Ritrovato says Alexis was ' easy going guy ' but he liked to play shoot em up video games . Aaron bragged on shooting skills , but never saw gun","ritrovato,alexis,aaron",,['gop'],"house,gop",88weighted,"Ritrovato,Alexis,Aaron"
15,,Riots on 17th and page for what ?,"17th,page","fbi,carter page","['aide', 'carter page', 'fbi']","fbi,fisa",ngunn7,
2472,,Right now Presbyterian is doing the baseball equivalent of letting your 2nd string QB get play time when you're up 42-0 in football .,presbyterian,,['gop'],"house,gop",88weighted,Presbyterian
2802,,Retailers face anonymous complaints if they breach grocery code of practice : …,,,['gop'],"house,gop",88weighted,
3193,,Reports of Up to 12 Dead in San Bernardino Shooting : Sources,san bernardino,,['gop'],"house,gop",88weighted,San Bernardino
3378,,"Reports : 12 Dead in Navy Yard Shooting ; Suspect Identified as Aaron Alexis , 34",aaron alexis,,['gop'],"house,gop",88weighted,"Navy Yard Shooting,Aaron Alexis"
332,,Report of 1 suspect down and 5 victims at #SantaMonica College . Still very active . #shooting #SMC,#santamonica college,"fbi,trump,carter page,the washington post","['fbi', 'the washington post', 'carter page', 'adviser']","fbi,fisa,trump,washington post",SallySellers54,#SantaMonica College
2909,,Report : CIA Agents Pulled From China After Data Breach …,"cia,china",,['gop'],"house,gop",88weighted,China
2227,,rent apartment toronto - 13 August 2015 - Apartments #newsdict #news #apartment #vacation,toronto,,['gop'],"house,gop",88weighted,
